wo_id,equipment_tag,date,wo_type,description,technician,downtime_hours,parts_used
WO-24025,P-101,2024-07-01,Preventive,Scheduled preventive maintenance as per PM plan for Cooling Water Pump A.,M. Reddy,4.0,
WO-24042,P-102,2024-07-01,Preventive,Scheduled preventive maintenance as per PM plan for Cooling Water Pump B.,V. Patil,3.6,
WO-24058,P-201,2024-07-01,Preventive,Scheduled preventive maintenance as per PM plan for Boiler Feed Pump.,M. Reddy,3.0,
WO-24073,C-201,2024-07-01,Preventive,Scheduled preventive maintenance as per PM plan for Coke Oven Gas Compressor.,P. Singh,1.9,
WO-24087,C-202,2024-07-01,Preventive,Scheduled preventive maintenance as per PM plan for Instrument Air Compressor.,V. Patil,1.2,
WO-24101,B-301,2024-07-01,Preventive,Scheduled preventive maintenance as per PM plan for Boiler No. 3.,K. Nair,2.7,
WO-24117,COB-1,2024-07-01,Preventive,Scheduled preventive maintenance as per PM plan for Coke Oven Battery 1.,M. Reddy,2.1,
WO-24130,CV-401,2024-07-01,Preventive,Scheduled preventive maintenance as per PM plan for Coal Conveyor 401.,A. Khan,2.3,
WO-24144,CV-402,2024-07-01,Preventive,Scheduled preventive maintenance as per PM plan for Coke Conveyor 402.,P. Singh,1.2,
WO-24158,TR-501,2024-07-01,Preventive,Scheduled preventive maintenance as per PM plan for Main Power Transformer.,R. Sharma,3.6,
WO-24172,TR-502,2024-07-01,Preventive,Scheduled preventive maintenance as per PM plan for Auxiliary Transformer.,R. Sharma,3.3,
WO-24185,V-601,2024-07-01,Preventive,Scheduled preventive maintenance as per PM plan for Ammonia Storage Vessel.,V. Patil,2.3,
WO-24204,F-701,2024-07-01,Preventive,Scheduled preventive maintenance as per PM plan for ESP Fan.,V. Patil,3.2,
WO-24222,GD-801,2024-07-01,Preventive,Scheduled preventive maintenance as per PM plan for CO Gas Detector Array - Battery Top.,R. Sharma,2.8,
WO-24236,EOT-901,2024-07-01,Preventive,Scheduled preventive maintenance as per PM plan for EOT Crane 20T.,R. Sharma,3.7,
WO-24072,C-201,2024-07-03,Corrective,Discharge temperature high reported by shift crew; rectified and tested OK.,M. Reddy,11.3,
WO-24110,COB-1,2024-07-26,Corrective,Door seal leakage reported by shift crew; rectified and tested OK.,D. Bose,9.8,
WO-24139,CV-402,2024-07-26,Corrective,Belt tracking fault reported by shift crew; rectified and tested OK.,A. Khan,11.8,
WO-24057,P-201,2024-08-02,Corrective,Seal leak reported by shift crew; rectified and tested OK.,V. Patil,7.1,
WO-24099,B-301,2024-08-15,Corrective,Tube leak reported by shift crew; rectified and tested OK.,D. Bose,9.7,
WO-24098,B-301,2024-08-22,Corrective,Tube leak reported by shift crew; rectified and tested OK.,K. Nair,10.3,
WO-24215,GD-801,2024-08-22,Corrective,Calibration overdue reported by shift crew; rectified and tested OK.,P. Singh,3.1,
WO-24171,TR-502,2024-08-23,Corrective,Buchholz alarm reported by shift crew; rectified and tested OK.,A. Khan,8.5,
WO-24054,P-201,2024-09-04,Corrective,Seal leak reported by shift crew; rectified and tested OK.,R. Sharma,7.9,
WO-24216,GD-801,2024-09-05,Corrective,Calibration overdue reported by shift crew; rectified and tested OK.,P. Singh,2.7,
WO-24232,EOT-901,2024-09-12,Corrective,Brake lining wear reported by shift crew; rectified and tested OK.,S. Iyer,9.9,
WO-24086,C-202,2024-09-13,Corrective,Valve plate failure reported by shift crew; rectified and tested OK.,P. Singh,8.2,
WO-24018,P-101,2024-09-19,Corrective,Impeller wear reported by shift crew; rectified and tested OK.,D. Bose,7.8,
WO-24154,TR-501,2024-09-21,Corrective,Oil leak reported by shift crew; rectified and tested OK.,S. Iyer,4.3,
WO-24170,TR-502,2024-09-22,Corrective,Buchholz alarm reported by shift crew; rectified and tested OK.,R. Sharma,9.5,
WO-24102,B-301,2024-09-25,Preventive,Scheduled preventive maintenance as per PM plan for Boiler No. 3.,V. Patil,3.8,
WO-24223,GD-801,2024-09-25,Preventive,Scheduled preventive maintenance as per PM plan for CO Gas Detector Array - Battery Top.,A. Khan,2.9,
WO-24059,P-201,2024-09-27,Preventive,Scheduled preventive maintenance as per PM plan for Boiler Feed Pump.,S. Iyer,3.2,
WO-24088,C-202,2024-09-27,Preventive,Scheduled preventive maintenance as per PM plan for Instrument Air Compressor.,M. Reddy,1.4,
WO-24145,CV-402,2024-09-27,Preventive,Scheduled preventive maintenance as per PM plan for Coke Conveyor 402.,V. Patil,2.4,
WO-24173,TR-502,2024-09-27,Preventive,Scheduled preventive maintenance as per PM plan for Auxiliary Transformer.,A. Khan,3.5,
WO-24043,P-102,2024-09-28,Preventive,Scheduled preventive maintenance as per PM plan for Cooling Water Pump B.,A. Khan,1.5,
WO-24186,V-601,2024-09-29,Preventive,Scheduled preventive maintenance as per PM plan for Ammonia Storage Vessel.,P. Singh,3.1,
WO-24205,F-701,2024-09-29,Preventive,Scheduled preventive maintenance as per PM plan for ESP Fan.,V. Patil,3.2,
WO-24237,EOT-901,2024-09-29,Preventive,Scheduled preventive maintenance as per PM plan for EOT Crane 20T.,M. Reddy,1.1,
WO-24131,CV-401,2024-09-30,Preventive,Scheduled preventive maintenance as per PM plan for Coal Conveyor 401.,S. Iyer,2.8,
WO-24074,C-201,2024-10-02,Preventive,Scheduled preventive maintenance as per PM plan for Coke Oven Gas Compressor.,P. Singh,1.5,
WO-24118,COB-1,2024-10-02,Preventive,Scheduled preventive maintenance as per PM plan for Coke Oven Battery 1.,K. Nair,3.0,
WO-24159,TR-501,2024-10-03,Preventive,Scheduled preventive maintenance as per PM plan for Main Power Transformer.,K. Nair,2.4,
WO-24026,P-101,2024-10-04,Preventive,Scheduled preventive maintenance as per PM plan for Cooling Water Pump A.,A. Khan,3.1,
WO-24143,CV-402,2024-10-18,Corrective,Guard interlock fault reported by shift crew; rectified and tested OK.,A. Khan,3.8,
WO-24036,P-102,2024-10-21,Corrective,Bearing overheating reported by shift crew; rectified and tested OK.,S. Iyer,9.9,
WO-24039,P-102,2024-10-26,Corrective,Impeller wear reported by shift crew; rectified and tested OK.,D. Bose,3.1,
WO-24219,GD-801,2024-10-30,Corrective,Calibration overdue reported by shift crew; rectified and tested OK.,A. Khan,9.8,
WO-24128,CV-401,2024-11-05,Corrective,Pull cord switch fault reported by shift crew; rectified and tested OK.,M. Reddy,8.7,
WO-24085,C-202,2024-11-12,Corrective,Piston ring wear reported by shift crew; rectified and tested OK.,P. Singh,5.2,
WO-24035,P-102,2024-11-19,Corrective,Coupling misalignment reported by shift crew; rectified and tested OK.,V. Patil,9.6,
WO-24103,B-301,2024-12-21,Preventive,Scheduled preventive maintenance as per PM plan for Boiler No. 3.,R. Sharma,3.5,
WO-24024,P-101,2024-12-23,Corrective,Bearing overheating reported by shift crew; rectified and tested OK.,S. Iyer,6.6,
WO-24224,GD-801,2024-12-23,Preventive,Scheduled preventive maintenance as per PM plan for CO Gas Detector Array - Battery Top.,V. Patil,1.5,
WO-24044,P-102,2024-12-24,Preventive,Scheduled preventive maintenance as per PM plan for Cooling Water Pump B.,R. Sharma,2.8,
WO-24206,F-701,2024-12-25,Preventive,Scheduled preventive maintenance as per PM plan for ESP Fan.,A. Khan,1.6,
WO-24089,C-202,2024-12-26,Preventive,Scheduled preventive maintenance as per PM plan for Instrument Air Compressor.,V. Patil,3.6,
WO-24238,EOT-901,2024-12-26,Preventive,Scheduled preventive maintenance as per PM plan for EOT Crane 20T.,R. Sharma,4.0,
WO-24027,P-101,2024-12-28,Preventive,Scheduled preventive maintenance as per PM plan for Cooling Water Pump A.,A. Khan,3.5,
WO-24132,CV-401,2024-12-28,Preventive,Scheduled preventive maintenance as per PM plan for Coal Conveyor 401.,K. Nair,2.6,
WO-24146,CV-402,2024-12-28,Preventive,Scheduled preventive maintenance as per PM plan for Coke Conveyor 402.,D. Bose,3.9,
WO-24187,V-601,2024-12-29,Preventive,Scheduled preventive maintenance as per PM plan for Ammonia Storage Vessel.,S. Iyer,3.2,
WO-24060,P-201,2024-12-30,Preventive,Scheduled preventive maintenance as per PM plan for Boiler Feed Pump.,P. Singh,1.7,
WO-24075,C-201,2024-12-30,Preventive,Scheduled preventive maintenance as per PM plan for Coke Oven Gas Compressor.,A. Khan,3.9,
WO-24174,TR-502,2024-12-30,Preventive,Scheduled preventive maintenance as per PM plan for Auxiliary Transformer.,S. Iyer,1.7,
WO-24160,TR-501,2025-01-01,Preventive,Scheduled preventive maintenance as per PM plan for Main Power Transformer.,M. Reddy,3.3,
WO-24119,COB-1,2025-01-03,Preventive,Scheduled preventive maintenance as per PM plan for Coke Oven Battery 1.,D. Bose,3.8,
WO-24001,P-101,2025-01-08,Corrective,Mechanical seal leak observed at gland; seal replaced with OEM cartridge seal. Shaft sleeve scoring noted again — same as previous replacements.,V. Patil,10.7,Cartridge seal SK-CS-40
WO-24197,F-701,2025-01-12,Corrective,Impeller imbalance reported by shift crew; rectified and tested OK.,A. Khan,9.2,
WO-24157,TR-501,2025-01-28,Corrective,Buchholz alarm reported by shift crew; rectified and tested OK.,K. Nair,11.0,
WO-24051,P-201,2025-02-02,Corrective,Cavitation damage reported by shift crew; rectified and tested OK.,A. Khan,9.1,
WO-24071,C-201,2025-02-04,Corrective,Discharge temperature high reported by shift crew; rectified and tested OK.,R. Sharma,3.6,
WO-24200,F-701,2025-02-12,Corrective,Bearing vibration reported by shift crew; rectified and tested OK.,A. Khan,5.1,
WO-24115,COB-1,2025-02-19,Corrective,Door seal leakage reported by shift crew; rectified and tested OK.,R. Sharma,8.6,
WO-24055,P-201,2025-02-21,Corrective,Cavitation damage reported by shift crew; rectified and tested OK.,A. Khan,2.1,
WO-24002,P-101,2025-02-27,Corrective,Mechanical seal leak observed at gland; seal replaced with OEM cartridge seal. Shaft sleeve scoring noted again — same as previous replacements.,R. Sharma,6.2,Cartridge seal SK-CS-40
WO-24070,C-201,2025-02-28,Corrective,Rotor bearing wear reported by shift crew; rectified and tested OK.,K. Nair,6.9,
WO-24142,CV-402,2025-03-07,Corrective,Idler bearing seizure reported by shift crew; rectified and tested OK.,R. Sharma,10.9,
WO-24225,GD-801,2025-03-20,Preventive,Scheduled preventive maintenance as per PM plan for CO Gas Detector Array - Battery Top.,V. Patil,1.5,
WO-24195,F-701,2025-03-22,Corrective,Bearing vibration reported by shift crew; rectified and tested OK.,M. Reddy,10.8,
WO-24133,CV-401,2025-03-23,Preventive,Scheduled preventive maintenance as per PM plan for Coal Conveyor 401.,M. Reddy,1.9,
WO-24104,B-301,2025-03-25,Preventive,Scheduled preventive maintenance as per PM plan for Boiler No. 3.,S. Iyer,2.3,
WO-24045,P-102,2025-03-26,Preventive,Scheduled preventive maintenance as per PM plan for Cooling Water Pump B.,R. Sharma,1.3,
WO-24090,C-202,2025-03-26,Preventive,Scheduled preventive maintenance as per PM plan for Instrument Air Compressor.,M. Reddy,1.5,
WO-24207,F-701,2025-03-27,Preventive,Scheduled preventive maintenance as per PM plan for ESP Fan.,M. Reddy,3.2,
WO-24028,P-101,2025-03-28,Preventive,Scheduled preventive maintenance as per PM plan for Cooling Water Pump A.,K. Nair,1.8,
WO-24097,B-301,2025-03-28,Corrective,Refractory damage reported by shift crew; rectified and tested OK.,P. Singh,4.5,
WO-24120,COB-1,2025-03-30,Preventive,Scheduled preventive maintenance as per PM plan for Coke Oven Battery 1.,M. Reddy,1.5,
WO-24147,CV-402,2025-03-30,Preventive,Scheduled preventive maintenance as per PM plan for Coke Conveyor 402.,K. Nair,3.5,
WO-24239,EOT-901,2025-03-31,Preventive,Scheduled preventive maintenance as per PM plan for EOT Crane 20T.,M. Reddy,2.7,
WO-24061,P-201,2025-04-01,Preventive,Scheduled preventive maintenance as per PM plan for Boiler Feed Pump.,K. Nair,1.6,
WO-24175,TR-502,2025-04-01,Preventive,Scheduled preventive maintenance as per PM plan for Auxiliary Transformer.,V. Patil,2.7,
WO-24161,TR-501,2025-04-02,Preventive,Scheduled preventive maintenance as per PM plan for Main Power Transformer.,A. Khan,2.5,
WO-24076,C-201,2025-04-03,Preventive,Scheduled preventive maintenance as per PM plan for Coke Oven Gas Compressor.,R. Sharma,3.2,
WO-24188,V-601,2025-04-03,Preventive,Scheduled preventive maintenance as per PM plan for Ammonia Storage Vessel.,M. Reddy,2.8,
WO-24153,TR-501,2025-04-05,Corrective,Buchholz alarm reported by shift crew; rectified and tested OK.,D. Bose,10.9,
WO-24235,EOT-901,2025-04-05,Corrective,Wire rope wear reported by shift crew; rectified and tested OK.,P. Singh,6.4,
WO-24003,P-101,2025-04-09,Corrective,Mechanical seal leak observed at gland; seal replaced with OEM cartridge seal. Shaft sleeve scoring noted again — same as previous replacements.,A. Khan,7.9,Cartridge seal SK-CS-40
WO-24020,P-101,2025-04-23,Corrective,Mechanical seal leak reported by shift crew; rectified and tested OK.,A. Khan,10.7,
WO-24182,V-601,2025-05-05,Corrective,Relief valve passing reported by shift crew; rectified and tested OK.,R. Sharma,5.5,
WO-24004,P-101,2025-05-19,Corrective,Mechanical seal leak observed at gland; seal replaced with OEM cartridge seal. Shaft sleeve scoring noted again — same as previous replacements.,R. Sharma,10.5,Cartridge seal SK-CS-40
WO-24194,F-701,2025-05-29,Corrective,Impeller imbalance reported by shift crew; rectified and tested OK.,P. Singh,4.1,
WO-24129,CV-401,2025-05-31,Corrective,Guard interlock fault reported by shift crew; rectified and tested OK.,M. Reddy,7.5,
WO-24168,TR-502,2025-06-01,Corrective,Oil leak reported by shift crew; rectified and tested OK.,P. Singh,5.3,
WO-24184,V-601,2025-06-15,Corrective,Relief valve passing reported by shift crew; rectified and tested OK.,K. Nair,10.2,
WO-24105,B-301,2025-06-18,Preventive,Scheduled preventive maintenance as per PM plan for Boiler No. 3.,M. Reddy,2.1,
WO-24202,F-701,2025-06-18,Corrective,Bearing vibration reported by shift crew; rectified and tested OK.,D. Bose,5.5,
WO-24226,GD-801,2025-06-19,Preventive,Scheduled preventive maintenance as per PM plan for CO Gas Detector Array - Battery Top.,P. Singh,3.1,
WO-24134,CV-401,2025-06-22,Preventive,Scheduled preventive maintenance as per PM plan for Coal Conveyor 401.,D. Bose,2.4,
WO-24029,P-101,2025-06-24,Preventive,Scheduled preventive maintenance as per PM plan for Cooling Water Pump A.,D. Bose,1.6,
WO-24046,P-102,2025-06-24,Preventive,Scheduled preventive maintenance as per PM plan for Cooling Water Pump B.,M. Reddy,1.7,
WO-24062,P-201,2025-06-26,Preventive,Scheduled preventive maintenance as per PM plan for Boiler Feed Pump.,K. Nair,2.1,
WO-24240,EOT-901,2025-06-26,Preventive,Scheduled preventive maintenance as per PM plan for EOT Crane 20T.,P. Singh,2.6,
WO-24077,C-201,2025-06-27,Preventive,Scheduled preventive maintenance as per PM plan for Coke Oven Gas Compressor.,R. Sharma,2.8,
WO-24091,C-202,2025-06-27,Preventive,Scheduled preventive maintenance as per PM plan for Instrument Air Compressor.,M. Reddy,2.8,
WO-24121,COB-1,2025-06-27,Preventive,Scheduled preventive maintenance as per PM plan for Coke Oven Battery 1.,R. Sharma,1.3,
WO-24176,TR-502,2025-06-28,Preventive,Scheduled preventive maintenance as per PM plan for Auxiliary Transformer.,P. Singh,3.1,
WO-24208,F-701,2025-06-28,Preventive,Scheduled preventive maintenance as per PM plan for ESP Fan.,M. Reddy,3.9,
WO-24162,TR-501,2025-06-30,Preventive,Scheduled preventive maintenance as per PM plan for Main Power Transformer.,K. Nair,2.5,
WO-24148,CV-402,2025-07-01,Preventive,Scheduled preventive maintenance as per PM plan for Coke Conveyor 402.,P. Singh,3.7,
WO-24189,V-601,2025-07-05,Preventive,Scheduled preventive maintenance as per PM plan for Ammonia Storage Vessel.,P. Singh,2.4,
WO-24005,P-101,2025-07-09,Corrective,Mechanical seal leak observed at gland; seal replaced with OEM cartridge seal. Shaft sleeve scoring noted again — same as previous replacements.,K. Nair,7.8,Cartridge seal SK-CS-40
